OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
116,BONAI-NOAMUNDI-JAMDA PROVINCE,KANTORIA,JHARKHAND,73,Fe(Hematite),1.70 M.TONNES,58%-63% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
291,NOAMUNDI-JAMDA SECTOR,SARAMDAH-BHADRASAI,ORISSA,73,Mn,6.814 M.TONNES,LOW TO MEDIUM GRADE,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
107,BONAI-KEONJHAR RANGE BELT,KHANDBAND,ORISSA,73 G,Fe(Hematite)-Mn,69.27 M.TONNES,63%-64.5% Fe,"BHQ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
126,CHIRIA-MANOHARPUKUR SECTOR,NOTABURU,JHARKHAND,73,Fe(Hematite),31.25 M.TONNES,62% Fe,"BHJ,QTZT,PHYLLITE",STRATI FORM-SEDIMENTARY,IRON ORE GROUP
124,CHIRIA-MANOHARPUKUR SECTOR,NOTABURU,JHARKHAND,73,Fe(Hematite),50.0 M.TONNES,61%-64% Fe,"SHALE,BHQ",BEDDED-SEDIMENTARY,BONAI Gp.
290,NOAMUNDI-JAMDA SECTOR,ROIDA,ORISSA,73,Mn(Fe),1.91 M.TONNES(FOR ROIDA-KATSAI),26.11 % Mn,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
287,NOAMUNDI-JAMDA BELT,KATSAI,ORISSA,730,Mn,-,-,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
288,NOAMUNDI-JAMDA SECTOR,MALANGTOLI,ORISSA,73,Fe (Hematite),708 M.TONNES,62%-64% Fe,"BHJ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
112,BONAI-NOAMUNDI-JAMDA PROVINCE,BARAJAMDA,ORISSA,73,Fe(Hematite),0.91 M.TONNES,58%-63% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA FLOW",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
289,NOAMUNDI-JAMDA SECTOR,NUIA,ORISSA (?),73,Fe (Hematite),32/ M.TONNES,59%-64% Fe,"SHALE,BMQ,TUFF,META VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
125,CHIRIA-MANOHARPUKUR SECTOR,CHIRIA,JHARKHAND,73,Fe(Hematite),2001 M.TONNES,62.17%-62.94% Fe,"BHJ,QTZT,QTZ.SCH1ST,PHYLLITE",BEDDED-SEDIMENTARY,IRON ORE GROUP
106,BONAI-BADAMPAHAR BELT,MANKAMACHA,ORISSA,73 G,Fe(Hematite),177 M.TONNES,+62% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
408,SINGBHUM BELT,PAHARDIHA,JHARKHAND,73,"Au (Pyrite,Galena)",OCCURRENCE,,"CHLORITE SCHIST,QUARTZITE",VEIN-DISCORDANT,SINGBHUM Gp.
103,BONAI-BADAMPAHAR BELT,BALIA PAHAR-KHEJURDAR/,ORISSA,73 G,Fe(Hematite),47.55 %TONNES,62.3% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
102,BONAI-BADAMPAHAR BELT,BADAMGARH PAHAR,ORISSA,73 G,Fe(Hematite),21.25 M.TONNES,63% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
2,JAMDA-KOIRA BELT,KOIRA,ORISSA,73 G,Mn (Fe),"75,000 TONNES",28%-37% Mn,"SHALE,TUFFACEOUS SHALE",VOLCANOSEDIMENTARY-BEDDED,BONAI Gp.
109,BONAI-NOAMUNDI-JAMDA BELT,BARAIBURU,JHARKHAND,73,Fe(Hematite),119.96 M.TONNES,58%-64% Fe,"BFQ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
